Name_raw,Name,Validity,Note,Street,Postal Code,City,Address,Location_latitude,Location_longitude,Category_Name,Website,Contact_Phone,Contact_Email_ID,Contact_Facebook,Contact_Instagram,Opening_Hours_0_day,Opening_Hours_0_hours,Opening_Hours_1_day,Opening_Hours_1_hours,Opening_Hours_2_day,Opening_Hours_2_hours,Opening_Hours_3_day,Opening_Hours_3_hours,Opening_Hours_4_day,Opening_Hours_4_hours,Opening_Hours_5_day,Opening_Hours_5_hours,Opening_Hours_6_day,Opening_Hours_6_hours,permanentlyClosed
Psychotherapie,Psychotherapie,INVALID,,Am Breul 2,61184,Karben,"Am Breul 2, 61184, Karben, Germany",50.2314885,8.7667631,Hindu temple,,+49 6039 404040,,,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,Open 24 hours,Sunday,Open 24 hours,FALSE
Pura Tri Hita Karana,Pura Tri Hita Karana,INVALID,,Eisenacher Str. 100,12685,Berlin,"Eisenacher Str. 100, 12685, Berlin, Germany",52.5394404,13.5776743,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Rheineechchuram Shivaistischer Hindu-Tempel,Rheineechchuram Shivaistischer Hindu Temple,,,Haselweg 13,48429,Rheine,"Haselweg 13, 48429, Rheine, Germany",52.303979,7.456314,Hindu temple,,"+49 17679878458
+49 1525 4163657",,https://www.facebook.com/people/%E0%AE%87%E0%AE%B1%E0%AF%88%E0%AE%A9%E0%AF%80%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B0%E0%AE%AE%E0%AF%8D-%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%A9%E0%AF%8D%E0%AE%95%E0%AF%8B%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%87%E0%AE%B1%E0%AF%88%E0%AE%A9%E0%AF%87-Rheineechchuram-Sivan-Tempel-Rheine/100071917157813/,,,,,,,,,,,,,,,,
"Shirdi Sai Baba Temple Frankfurt, Germany ( private )",Shirdi Sai Baba Temple,,,Anton-Burger-Weg 44,60599,Frankfurt-Süd,"Anton-Burger-Weg 44, 60599, Frankfurt-Süd, Germany",50.089232,8.705105,Hindu temple,http://shirdisaibabatemple-frankfurtgermany.com/,+49 69 68600058,,,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,7 PM to 8 PM,Friday,Closed,Saturday,5 PM to 7 PM,Sunday,Closed,FALSE
Rolf,Rolf,INVALID,,Rötelstraße 20,74172,Neckarsulm,"Rötelstraße 20, 74172, Neckarsulm, Germany",49.1788257,9.2192594,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Shri Sithi Vinayagar Tempel e.V.,Shri Sithi Vinayagar Tempel e.V.,,,Schaffhauser Straße 173,78224,Singen,"Schaffhauser Straße 173, 78224, Singen, Germany",47.753215,8.818735,Hindu temple,http://www.singenvinayagar.com/,+49 176 13638011,mail@Singenvinayagar.com,http://Facebook.com/SingenVinayagar,https://www.instagram.com/singenshrisithivinayagar,Monday,6 PM to 7 PM,Tuesday,5 PM to 8 PM,Wednesday,6 PM to 7 PM,Thursday,6 PM to 7 PM,Friday,5 PM to 8 PM,Saturday,6 PM to 7 PM,Sunday,6 PM to 7 PM,FALSE
Shri Thenupurisvarar Temple Ravensburg,Shri Thenupurisvarar Temple,,,Argonnenstraße 9,88250,Weingarten,"Argonnenstraße 9, 88250, Weingarten, Germany",47.814541,9.637282,Hindu temple,https://www.instagram.com/shivankovil.rv?igsh=MXUzb3RsbWcxNmhrcQ==,+49 160 6350651,,,,Monday,6 PM to 9 PM,Tuesday,6 PM to 9 PM,Wednesday,6 PM to 9 PM,Thursday,6 PM to 9 PM,Friday,6 PM to 9 PM,Saturday,6 PM to 9 PM,Sunday,6 PM to 9 PM,FALSE
Sivaalayam,Sivaalayam,,,Bodenseestraße 228,81243,Munich,"Bodenseestraße 228, 81243, Munich, Germany",48.143525,11.425042,Hindu temple,http://sivaalayam.org/,+49 1573 8166156,,,https://www.instagram.com/sivaalayam,Monday,"8 AM to 10 AM, 6 PM to 8 PM",Tuesday,"8 AM to 10 AM, 6 PM to 8 PM",Wednesday,"8 AM to 10 AM, 6 PM to 8 PM",Thursday,"8 AM to 10 AM, 6 PM to 8 PM",Friday,"8 AM to 10 AM, 6 PM to 8 PM",Saturday,"8 AM to 10 AM, 6 PM to 8 PM",Sunday,"8 AM to 10 AM, 6 PM to 8 PM",FALSE
Sivan Temple Dortmund e.V. Hindu Temple Dortmund Germany,Sivan Temple Dortmund e.V. Hindu Temple,,,Kieferstraße 24,44225,Hombruch,"Kieferstraße 24, 44225, Hombruch, Germany",51.472321,7.433276,Hindu temple,http://www.sivantempel-dortmund.de/,+49 231 72515165,info@sivantempel-dortmund.de,https://www.facebook.com/SivanTempel.de,https://www.instagram.com/sivan_tempeldortmund,,,,,,,,,,,,,,,FALSE
Sri Bala Murugan Temple,Sri Bala Murugan Temple,,,Benzstraße 7,71701,Schwieberdingen,"Benzstraße 7, 71701, Schwieberdingen, Germany",48.88071,9.078295,Hindu temple,,+49 163 9677709,,,,Monday,6 PM to 8:30 PM,Tuesday,6 PM to 8:30 PM,Wednesday,6 PM to 8:30 PM,Thursday,6 PM to 8:30 PM,Friday,6 PM to 8:30 PM,Saturday,6 PM to 8:30 PM,Sunday,6 PM to 8:30 PM,FALSE
Sri Durgaparameshwari Temple,Sri Durgaparameshwari Temple,,,Alleenstraße 18,73230,Kirchheim unter Teck,"Alleenstraße 18, 73230, Kirchheim unter Teck, Germany",48.647438,9.448032,Hindu temple,https://www.hinduistische-gemeinde-deutschland.de/,+49 7021 8074399,info@hinduistische-gemeinde-deutschland.de,,,Monday,Closed,Tuesday,6 PM to 9 PM,Wednesday,Closed,Thursday,Closed,Friday,6 PM to 9 PM,Saturday,Closed,Sunday,Closed,FALSE
Sri Ganesh Hindu Gemeinde e.V.,Sri Ganesh Hindu Gemeinde e.V.,,,Alter Damm 15,30419,Hanover,"Alter Damm 15, 30419, Hanover, Germany",52.428013,9.651292,Hindu temple,http://www.ganeshtemplehannover.de/,+49 174 7770661,"k.kurukkal@t-online.de, info@amman-tempel-hannover.de",https://www.facebook.com/pages/category/Community/Navasakthi-Ganapathi-Temple-Hannover-1467655600193237,,Monday,6 PM to 7:30 PM,Tuesday,6 PM to 7:30 PM,Wednesday,6 PM to 7:30 PM,Thursday,6 PM to 7:30 PM,Friday,6 PM to 8 PM,Saturday,6 PM to 7:30 PM,Sunday,6 PM to 7:30 PM,FALSE
Sri Ganesha Hindu Tempel e.V.,Sri Ganesha Hindu Tempel e.V.,,,Hasenheide 106,10967,Berlin,"Hasenheide 106, 10967, Berlin, Germany",52.486768,13.42079,Hindu temple,https://www.hindutempleberlin.de/,+49 1511 9311085,info@hindutempleberlin.de,https://www.facebook.com/SGHTBERLIN/,,,,,,,,,,,,,,,,FALSE
Sri Hindu Mandir Hamburg ev,Sri Hindu Mandir Hamburg e.V.,,,Eiffestraße 424,20537,Hamburg,"Eiffestraße 424, 20537, Hamburg, Germany",53.552242,10.045068,Hindu temple,,+49 40 24827158,,https://www.facebook.com/groups/284866318551211/,https://www.instagram.com/sri_hindu_mandir_hamburg?igsh=YjhyemM1eDkycW82,Monday,10 AM to 7 PM,Tuesday,10 AM to 7 PM,Wednesday,10 AM to 7 PM,Thursday,10 AM to 7 PM,Friday,10 AM to 7 PM,Saturday,10 AM to 7 PM,Sunday,10 AM to 7 PM,FALSE
Sri Jeyaveera Anjaneyar Temple,Sri Jeyaveera Anjaneyar Temple,,,Wilhelmstraße 35,44575,Castrop-Rauxel,"Wilhelmstraße 35, 44575, Castrop-Rauxel, Germany",51.555806,7.315373,Hindu temple,,+49 2305 998296,,,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,6 to 8 PM,Friday,Closed,Saturday,Closed,Sunday,9 AM to 4 PM,FALSE
Sri Kanakathurka Ampal Tempel e.V.,Sri Kanakathurka Ampal Tempel e.V.,,,Beckenkamp 7,58239,Schwerte,"Beckenkamp 7, 58239, Schwerte, Germany",51.437151,7.562252,Hindu temple,http://www.ampal-schwerte.de/,+49 2304 16721,,https://www.facebook.com/HinduTempelSchwerte,,Monday,5:45 PM to 7 PM,Tuesday,4:45 PM to 7:30 PM,Wednesday,5:45 PM to 7 PM,Thursday,5:45 PM to 7 PM,Friday,4:45 PM to 7:30 PM,Saturday,5:45 PM to 7 PM,Sunday,5:45 PM to 7 PM,FALSE
Sri Mahamariamman Tempel e.V.,Sri Mahamariamman Temple e.V.,,,Grubenstraße 41,66280,Sulzbach,"Grubenstraße 41, 66280, Sulzbach, Germany",49.31244,7.079469,Hindu temple,http://ammantempel.net/,+49 6897 81112,saar-amman@live.de,https://www.facebook.com/amman.saar/,,Monday,"9 AM to 11 AM, 6 PM to 8 PM",Tuesday,"9 AM to 11 AM, 6 PM to 8 PM",Wednesday,"9 AM to 11 AM, 6 PM to 8 PM",Thursday,"9 AM to 11 AM, 6 PM to 8 PM",Friday,"9 AM to 11 AM, 6 PM to 8 PM",Saturday,"9 AM to 11 AM, 6 PM to 8 PM",Sunday,"9 AM to 11 AM, 6 PM to 8 PM",FALSE
Sri Meenadchi Ambal Temple,Sri Meenadchi Ambal Temple,,,Sulzbacher Straße 56,71522,Backnang,"Sulzbacher Straße 56, 71522, Backnang, Germany",48.950042,9.43535,Hindu temple,https://srimeenadchiambal.com/en/,+49 7191 3731436,,,,Monday,Closed,Tuesday,6 PM to 9 PM,Wednesday,Closed,Thursday,Closed,Friday,6 PM to 9 PM,Saturday,Closed,Sunday,Closed,FALSE
Sri Muthumariamman Temple,Sri Muthumariamman Temple,,,Christian-Lassen-Straße 6,53117,Bonn,"Christian-Lassen-Straße 6, 53117, Bonn, Germany",50.751399,7.058378,Hindu temple,http://srimutthumariampal.de.tl/,+49 1515 4931427,,https://www.facebook.com/srimutthumariampal.alayam.5,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,7 PM to 9 PM,Saturday,Closed,Sunday,Closed,FALSE
Pforzheim Sri Naagapoosany Amman Aalayam,Sri Naagapoosany Amman Aalayam,,,Turnstraße 8a,75173,Pforzheim,"Turnstraße 8a, 75173, Pforzheim, Germany",48.889115,8.696268,Hindu temple,http://www.ammantempelpforzheim.de/,+49 7231 2818753,temple-pforzheim@hotmail.com,,,Monday,"10:30 AM to 1 PM, 5:30 PM to 8 PM",Tuesday,"10:30 AM to 1 PM, 5:30 PM to 8 PM",Wednesday,"10:30 AM to 1 PM, 5:30 PM to 8 PM",Thursday,"10:30 AM to 1 PM, 5:30 PM to 8 PM",Friday,"10:30 AM to 1 PM, 5:30 PM to 8 PM",Saturday,"10:30 AM to 1 PM, 5:30 PM to 8 PM",Sunday,"10:30 AM to 1 PM, 5:30 PM to 8 PM",FALSE
Sri Navasakthi Vinayagar Jüchen,Sri Navasakthi Vinayagar,,,Hochstraße 10A,41363,Jüchen,"Hochstraße 10A, 41363, Jüchen, Germany",51.101149,6.454046,Hindu temple,https://www.facebook.com/Sri-Navasakthi-Vinayagar-J%C3%BCchen-234587420311093/,+49 2164 7020944,vinayagarjuechen@googlemail.com,https://www.facebook.com/Sri-Navasakthi-Vinayagar-J%C3%BCchen-234587420311093/,,Monday,"11 AM to 1 PM, 6 PM to 7:30 PM",Tuesday,"11 AM to 1 PM, 6 PM to 7:30 PM",Wednesday,"11 AM to 1 PM, 6 PM to 7:30 PM",Thursday,"11 AM to 1 PM, 6 PM to 7:30 PM",Friday,"11 AM to 1 PM, 6 PM to 7:30 PM",Saturday,"11 AM to 1 PM, 6 PM to 7:30 PM",Sunday,"11 AM to 1 PM, 6 PM to 7:30 PM",FALSE
Sri Navasakthi Vinayagar Alayam Mönchengladbach,Sri Navasakthi Vinayagar Alayam,,,Klosterhofweg 94,41199,Mönchengladbach,"Klosterhofweg 94, 41199, Mönchengladbach, Germany",51.12075,6.45069,Hindu temple,https://www.hindutempel.de/,+49 2166 686789,,,,Monday,"10 AM to 2 PM, 6 PM to 8 PM",Tuesday,"10 AM to 2 PM, 6 PM to 8 PM",Wednesday,"10 AM to 2 PM, 6 PM to 8 PM",Thursday,"10 AM to 2 PM, 6 PM to 8 PM",Friday,"10 AM to 2 PM, 6 PM to 8 PM",Saturday,"10 AM to 2 PM, 6 PM to 8 PM",Sunday,"10 AM to 2 PM, 6 PM to 8 PM",FALSE
Sri Navathurgadevi Tempel e.V.,Sri Navathurgadevi Tempel e.V.,,,Hünefeldstraße 63B,42285,Barmen,"Hünefeldstraße 63B, 42285, Barmen, Germany",51.264502,7.1744,Hindu temple,https://hindutempel-wuppertal.de/,+49 202 4796017,kontakt@hindutempel-wuppertal.de,"https://www.facebook.com/SriNavathurgadeviTempel, https://www.facebook.com/AxiomThemes-505060569826537",https://www.instagram.com/axiom_themes,Monday,6 PM to 7 PM,Tuesday,5 PM to 7:30 PM,Wednesday,6 PM to 7 PM,Thursday,6 PM to 7 PM,Friday,5 PM to 7:30 PM,Saturday,6 PM to 7 PM,Sunday,6 PM to 7 PM,FALSE
Sri Raja Rajeswari Amman Temple,Sri Raja Rajeswari Amman Temple,,,Kopernikusplatz 7a,90459,Nuremberg,"Kopernikusplatz 7a, 90459, Nuremberg, Germany",49.439679,11.08151,Hindu temple,http://www.sriammantemple.com/,+49 1521 6752005,,,,Monday,5:30 PM to 8 PM,Tuesday,4:30 PM to 9 PM,Wednesday,5:30 PM to 8 PM,Thursday,5:30 PM to 8 PM,Friday,5:30 PM to 8 PM,Saturday,5:30 PM to 8 PM,Sunday,5:30 PM to 8 PM,FALSE
Sri Sellapillaiyar Ganesha Temple,Sri Sellapillaiyar Ganesha Temple,,,Eduard-Friederich-Straße 5,82256,Fürstenfeldbruck,"Eduard-Friederich-Straße 5, 82256, Fürstenfeldbruck, Germany",48.159806,11.222674,Hindu temple,http://sellapillaiyar-muenchen.de/,+49 8141 8908993,,,,Monday,6 PM to 7 PM,Tuesday,6 PM to 7 PM,Wednesday,6 PM to 7 PM,Thursday,6 PM to 7 PM,Friday,6 PM to 8 PM,Saturday,6 PM to 7 PM,Sunday,6 PM to 7 PM,FALSE
Sri Shankara Narayana Hindu Peedam,Sri Shankara Narayana Hindu Peedam,,,Saarbrückener Straße 252B,38116,Braunschweig,"Saarbrückener Straße 252B, 38116, Braunschweig, Germany",52.280196,10.487864,Hindu temple,http://www.hindu-tempel-braunschweig.de/,+49 160 96612153,kontakt@hindu-tempel-braunschweig.de,,https://www.instagram.com/hindu_tempel_braunschweig,Monday,5 PM to 7 PM,Tuesday,5 PM to 7 PM,Wednesday,5 PM to 7 PM,Thursday,5 PM to 7 PM,Friday,5 PM to 7 PM,Saturday,5 PM to 7 PM,Sunday,5 PM to 7 PM,FALSE
Sri Sithivinayagar Kovil Stuttgart e.V,Sri Sithivinayagar Kovil Stuttgart e.V.,,,Lehmfeldstraße 18,70374,Stuttgart,"Lehmfeldstraße 18, 70374, Stuttgart, Germany",48.820355,9.239953,Hindu temple,https://www.sri-sithivinayagar-kovil-ev.de/,+49 176 43442439,srisithivinayagarkovilev@gmail.com,https://www.facebook.com/people/Sri-Sithivinayagar-Kovil-Stuttgart/100011598367825/#,https://www.instagram.com/srisithivinayagarkovilev,Monday,5:30 PM to 8:30 PM,Tuesday,"10:30 AM to 1:30 PM, 5:30 PM to 8:30 PM",Wednesday,"10:30 AM to 1:30 PM, 5:30 PM to 8:30 PM",Thursday,"10:30 AM to 1:30 PM, 5:30 PM to 8:30 PM",Friday,"10:30 AM to 1:30 PM, 5:30 PM to 8:30 PM",Saturday,"10:30 AM to 1:30 PM, 5:30 PM to 8:30 PM",Sunday,"10:30 AM to 1:30 PM, 5:30 PM to 8:30 PM",FALSE
Sri Sithivinayagar Tempel Nürnberg,Sri Sithivinayagar Temple,,,Humboldtstraße 103,90459,Nuremberg,"Humboldtstraße 103, 90459, Nuremberg, Germany",49.43951,11.083178,Hindu temple,https://srisiththivinayagar.com/,+49 176 40440800,,,,Monday,6 PM to 8 PM,Tuesday,6 PM to 8 PM,Wednesday,6 PM to 8 PM,Thursday,6 PM to 8 PM,Friday,6 PM to 8 PM,Saturday,6 PM to 8 PM,Sunday,6 PM to 8 PM,FALSE
Sri Sithivinayagar Temple,Sri Sithivinayagar Temple,,,Ferdinand-Poggel-Straße 25,59065,Hamm,"Ferdinand-Poggel-Straße 25, 59065, Hamm, Germany",51.675012,7.811653,Hindu temple,,+49 2381 162686,,https://www.facebook.com/HammSriSithivinayagar/,instagram.com/srisithivinayagar_hamm?igsh=MTFhbDZtYWI1dnk4cQ%3D%3D,Monday,"9 AM to 12 PM, 5 PM to 8 PM",Tuesday,"9 AM to 12 PM, 5 PM to 8 PM",Wednesday,"9 AM to 12 PM, 5 PM to 8 PM",Thursday,"9 AM to 12 PM, 5 PM to 8 PM",Friday,"9 AM to 12 PM, 5 PM to 8 PM",Saturday,"9 AM to 12 PM, 5 PM to 8 PM",Sunday,"9 AM to 12 PM, 5 PM to 8 PM",FALSE
Sri Sitti Vinayagar Hindu Temple,Sri Sitti Vinayagar Hindu Temple,,,Waiblinger Straße 30,70372,Stuttgart,"Waiblinger Straße 30, 70372, Stuttgart, Germany",48.803945,9.221459,Hindu temple,https://www.ganapathytemple.de/,+49 711 4703047,,https://www.facebook.com/srisithivinayagar.tempelbadcannstatt,,Monday,7 PM to 9 PM,Tuesday,7 PM to 8:30 PM,Wednesday,7 PM to 9 PM,Thursday,7 PM to 9 PM,Friday,7 PM to 8:30 PM,Saturday,7 PM to 9 PM,Sunday,7 PM to 9 PM,FALSE
Sri Varasiththi Vinayakar Temple,Sri Varasiththi Vinayakar Temple,,,Ilse-Kaisen Straße 24,28327,Bremen,"Ilse-Kaisen Straße 24, 28327, Bremen, Germany",53.071651,8.924298,Hindu temple,https://www.bremen-sri-varasiththi-vinayakar.com/,+49 421 24796658,contact@bremen-sri-varasiththi-vinayakar.com,https://www.facebook.com/profile.php?id=100093094385875,https://instagram.com/varasithivinayakar,Monday,6 PM to 8 PM,Tuesday,6 PM to 8 PM,Wednesday,6 PM to 8 PM,Thursday,6 PM to 8 PM,Friday,6 PM to 8 PM,Saturday,6 PM to 8 PM,Sunday,6 PM to 8 PM,FALSE
Sri Venkateshwara Temple Stuttgart,Sri Venkateshwara Temple,,,Wankelstraße 4/A,71272,Renningen,"Wankelstraße 4/A, 71272, Renningen, Germany",48.780482,8.899912,Hindu temple,https://svtstuttgart.de/,+49 1525 5749792,"svtstuttgart@gmail.com, info@svtstuttgart.de",,https://www.instagram.com/svt_stuttgart,Monday,5 PM to 9 PM,Tuesday,5 PM to 9 PM,Wednesday,5 PM to 9 PM,Thursday,5 PM to 9 PM,Friday,5 PM to 9 PM,Saturday,5 PM to 9 PM,Sunday,5 PM to 9 PM,FALSE
Sri Venkateswara Perumal Devasthanam,Sri Venkateswara Perumal Devasthanam,,,Heessener Straße 134,59073,Hamm-Heessen,"Heessener Straße 134, 59073, Hamm-Heessen, Germany",51.69654,7.826858,Hindu temple,https://www.sri-venkateswara-perumal-tempel.de/,+49 2381 9583563,,https://www.facebook.com/Sri-Venkateswara-Perumal-Temple-eV-1750303355193325,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,10 AM to 12 PM,Sunday,Closed,FALSE
Tamilengemeinde Krefeld e.V. - Hindutempel,Tamilengemeinde Krefeld e.V. Hindutempel,,,Elisabethstraße 103 -105,47799,Krefeld,"Elisabethstraße 103 -105, 47799, Krefeld, Germany",51.332665,6.571042,Hindu temple,,+49 2151 5650045,,,,Monday,5 PM to 6 PM,Tuesday,5 PM to 7 PM,Wednesday,5 PM to 6 PM,Thursday,5 PM to 6 PM,Friday,5 PM to 7 PM,Saturday,11 AM to 2 PM,Sunday,12 PM to 2 PM,FALSE
TB Connect GmbH,Tb Connect Gmbh,INVALID,,Arthur-Schnitzler-Straße 10 a,6886,Wittenberg,"Arthur-Schnitzler-Straße 10 a, 6886, Wittenberg, Germany",51.8882487,12.666118,Hindu temple,https://tbconnect.de/kontakt/,+49 3491 4323317,,,,,,,,,,,,,,,,,,FALSE
"Temple, AHKV Hindu Cultural Association e.V.",Ahkv Hindu Cultural Association e.V.,UNSURE,,Circus-Roncalli-Weg 11,51063,Mülheim,"Circus-Roncalli-Weg 11, 51063, Mülheim, Germany",50.980033,7.017693,Hindu temple,,+49 221 3404484,,,,Monday,10 AM to 6 PM,Tuesday,10 AM to 6 PM,Wednesday,10 AM to 6 PM,Thursday,10 AM to 6 PM,Friday,10 AM to 6 PM,Saturday,10 AM to 6 PM,Sunday,10 AM to 6 PM,FALSE
Thiru Nallur Sri Arumukan Velalakan Murukan Temple,Thiru Nallur Sri Arumukan Velalakan Murukan Temple,,,Roonstraße 2,59065,Hamm,"Roonstraße 2, 59065, Hamm, Germany",51.675496,7.812676,Hindu temple,https://www.facebook.com/Thiru-Nallur-Sri-Arumukan-Velalakan-Hamm-Germany-183209298367261/,+49 2381 29103,arumurugan@hotmail.de,https://www.facebook.com/Thiru-Nallur-Sri-Arumukan-Velalakan-Hamm-Germany-183209298367261/,,Monday,9 AM to 8 PM,Tuesday,9 AM to 8 PM,Wednesday,9 AM to 8 PM,Thursday,9 AM to 8 PM,Friday,9 AM to 8 PM,Saturday,9 AM to 8 PM,Sunday,9 AM to 8 PM,FALSE
TREEART BONSAI,Treeart Bonsai,INVALID,,Brunnenstraße 5,56828,Alflen,"Brunnenstraße 5, 56828, Alflen, Germany",50.1774832,7.0378698,Hindu temple,http://www.bonsaigestaltung.com/,+49 2678 910384,,https://www.facebook.com/joerg.derlien,https://www.instagram.com/jdbonsai,,,,,,,,,,,,,,,FALSE
Ubumwewuve Grande Hotel,Ubumwewuve Grande Hotel,INVALID,,Birkenallee 1e,49808,Lingen,"Birkenallee 1e, 49808, Lingen, Germany",52.5347151,7.3311808,Hindu temple,,+49 170 5478765,,,,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Closed,Sunday,3:45 to 4:45 AM,FALSE
Vedic Cultural Association e.V.,Vedic Cultural Association e.V.,,,Forsthausweg 1,69483,Wald-Michelbach,"Forsthausweg 1, 69483, Wald-Michelbach, Germany",49.546728,8.804672,Hindu temple,https://www.harekrischna.de/,+49 178 8633740,ved.kulturverein@gmail.com,"https://www.facebook.com/bhaktistuttgart, https://www.facebook.com/Vedischer-Kulturverein-101239327891512",,Monday,8 AM to 1 PM,Tuesday,6:30 PM to 9 PM,Wednesday,"8 AM to 1 PM, 6:30 PM to 9 PM",Thursday,"8 AM to 1 PM, 6:30 PM to 9 PM",Friday,"8 AM to 1 PM, 6:30 PM to 9 PM",Saturday,"8 AM to 1 PM, 6:30 PM to 9 PM",Sunday,"8 AM to 1 PM, 6:30 PM to 9 PM",FALSE
Vedic culture - Hindu Temple,Vedic Culture Hindu Temple,,,Kreuzotterweg 2,70499,Weilimdorf,"Kreuzotterweg 2, 70499, Weilimdorf, Germany",48.801965,9.08675,Hindu temple,https://stuttgart-hindutemple.org/,+49 173 2109941,,,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,Closed,Sunday,11 AM to 3 PM,FALSE
Vinayagar temple,Vinayagar Temple,,,Gottwaldstraße 23,45525,Hattingen,"Gottwaldstraße 23, 45525, Hattingen, Germany",51.400201,7.168355,Hindu temple,,+49 2324 27061,,https://www.facebook.com/pilaiyaarkovil.hattingen/,,Monday,Closed,Tuesday,6 PM to 7:55 PM,Wednesday,9 AM to 2 PM,Thursday,Closed,Friday,6 PM to 7:55 PM,Saturday,Closed,Sunday,Closed,FALSE
Vitthala Pandurenga Rukmini Mandir,Vitthala Pandurenga Rukmini Mandir,,a part of Bhakthi Marg,Am Geisberg 1-8,65321,Heidenrod,"Am Geisberg 1-8, 65321, Heidenrod, Germany",50.1446,7.992185,Hindu temple,https://www.bhaktimarga.org/,+49 61246091125,"rezeption@bmsvd.net, willkommen@bhaktimarga.de, registration@bhaktimarga.org","https://www.facebook.com/ShreePeethaNilaya, https://www.facebook.com/bhaktimargadeutschland","https://www.instagram.com/bhaktimarga_deutschland, https://www.instagram.com/srivitthaldham",Monday,"7:30 AM to 1 PM, 4 PM to 8 PM",Tuesday,"7:30 AM to 1 PM, 4 PM to 8 PM",Wednesday,"7:30 AM to 1 PM, 4 PM to 8 PM",Thursday,"7:30 AM to 1 PM, 4 PM to 8 PM",Friday,"7:30 AM to 1 PM, 4 PM to 8 PM",Saturday,"7:30 AM to 1 PM, 4 PM to 8 PM",Sunday,"7:30 AM to 1 PM, 4 PM to 8 PM",FALSE
Zentrum The White Horse,Zentrum The White Horse,,,Breiteweg 9,78359,Orsingen-Nenzingen,"Breiteweg 9, 78359, Orsingen-Nenzingen, Germany",47.84012,8.93365,Yoga retreat center,https://zentrum-thewhitehorse.de/,+49 7774 9397937,info@zentrum-thewhitehorse.de,https://www.facebook.com/ZentrumTheWhiteHorse,https://www.instagram.com/zentrumthewhitehorse,,,,,,,,,,,,,,,FALSE
Zweckverband Breitband Marsch und Geest,Zweckverband Breitband Marsch Und Geest,UNSURE,,Wedeler Ch 21,25492,Heist,"Wedeler Ch 21, 25492, Heist, Germany",53.6552379,9.6707714,Hindu temple,https://www.zbmg.de/kontakt/index.php,+49 4122 5023060,,,,,,,,,,,,,,,,,,FALSE
Каспер,Каспер,INVALID,,Adalbert-Stifter-Straße 4,71638,Ludwigsburg,"Adalbert-Stifter-Straße 4, 71638, Ludwigsburg, Germany",48.8788957,9.2182206,Hindu temple,https://www.irinakasper.de/contact.php,+49 1573 2277240,irina.kasper.1962@mail.ru,facebook.com/irina.kasper.3,,,,,,,,,,,,,,,,FALSE
