name,note,street,postal_code,city,address,location_latitude,location_longitude,website,contact_phone,contact_email_id,contact_facebook,contact_instagram,opening_hours
Sri Kanakathurka Ampal Tempel e.V.,,Beckenkamp 7,58239,Schwerte,"Beckenkamp 7, 58239, Schwerte, Germany",51.437151,7.562252,"[""http://www.ampal-schwerte.de""]","[""+49 2304 16721""]",,"[""https://www.facebook.com/HinduTempelSchwerte""]",,"{""Monday"": ""17:45\u201319:00"", ""Tuesday"": ""16:45\u201319:30"", ""Wednesday"": ""17:45\u201319:00"", ""Thursday"": ""17:45\u201319:00"", ""Friday"": ""16:45\u201319:30"", ""Saturday"": ""17:45\u201319:00"", ""Sunday"": ""17:45\u201319:00""}"
Sri Mahamariamman Temple e.V.,,Grubenstraße 41,66280,Sulzbach,"Grubenstraße 41, 66280, Sulzbach, Germany",49.31244,7.079469,"[""http://ammantempel.net""]","[""+49 6897 81112""]","[""saar-amman@live.de""]","[""https://www.facebook.com/amman.saar""]",,"{""Monday"": ""09:00\u201311:00, 18:00\u201320:00"", ""Tuesday"": ""09:00\u201311:00, 18:00\u201320:00"", ""Wednesday"": ""09:00\u201311:00, 18:00\u201320:00"", ""Thursday"": ""09:00\u201311:00, 18:00\u201320:00"", ""Friday"": ""09:00\u201311:00, 18:00\u201320:00"", ""Saturday"": ""09:00\u201311:00, 18:00\u201320:00"", ""Sunday"": ""09:00\u201311:00, 18:00\u201320:00""}"
Sri Meenadchi Ambal Temple,,Sulzbacher Straße 56,71522,Backnang,"Sulzbacher Straße 56, 71522, Backnang, Germany",48.950042,9.43535,"[""https://srimeenadchiambal.com/en""]","[""+49 7191 3731436""]",,,,"{""Monday"": ""Closed"", ""Tuesday"": ""~18:00\u201321:00"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""~18:00\u201321:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}"
Sri Muthumariamman Temple,,Christian-Lassen-Straße 6,53117,Bonn,"Christian-Lassen-Straße 6, 53117, Bonn, Germany",50.751399,7.058378,"[""http://srimutthumariampal.de.tl""]","[""+49 1515 4931427""]",,"[""https://www.facebook.com/srimutthumariampal.alayam.5""]",,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""~19:00\u201321:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}"
Sri Naagapoosany Amman Aalayam,,Turnstraße 8a,75173,Pforzheim,"Turnstraße 8a, 75173, Pforzheim, Germany",48.889115,8.696268,"[""http://www.ammantempelpforzheim.de""]","[""+49 7231 2818753""]","[""temple-pforzheim@hotmail.com""]",,,"{""Monday"": ""10:30\u201313:00, 17:30\u201320:00"", ""Tuesday"": ""10:30\u201313:00, 17:30\u201320:00"", ""Wednesday"": ""10:30\u201313:00, 17:30\u201320:00"", ""Thursday"": ""10:30\u201313:00, 17:30\u201320:00"", ""Friday"": ""10:30\u201313:00, 17:30\u201320:00"", ""Saturday"": ""10:30\u201313:00, 17:30\u201320:00"", ""Sunday"": ""10:30\u201313:00, 17:30\u201320:00""}"
Sri Navasakthi Vinayagar,,Hochstraße 10A,41363,Jüchen,"Hochstraße 10A, 41363, Jüchen, Germany",51.101149,6.454046,"[""https://www.facebook.com/Sri-Navasakthi-Vinayagar-J%C3%BCchen-234587420311093""]","[""+49 2164 7020944""]","[""vinayagarjuechen@googlemail.com""]","[""https://www.facebook.com/Sri-Navasakthi-Vinayagar-J%C3%BCchen-234587420311093""]",,"{""Monday"": ""11:00\u201313:00, 18:00\u201319:30"", ""Tuesday"": ""11:00\u201313:00, 18:00\u201319:30"", ""Wednesday"": ""11:00\u201313:00, 18:00\u201319:30"", ""Thursday"": ""11:00\u201313:00, 18:00\u201319:30"", ""Friday"": ""11:00\u201313:00, 18:00\u201319:30"", ""Saturday"": ""11:00\u201313:00, 18:00\u201319:30"", ""Sunday"": ""11:00\u201313:00, 18:00\u201319:30""}"
Sri Navasakthi Vinayagar Alayam,,Klosterhofweg 94,41199,Mönchengladbach,"Klosterhofweg 94, 41199, Mönchengladbach, Germany",51.12075,6.45069,"[""https://www.hindutempel.de""]","[""+49 2166 686789""]",,,,"{""Monday"": ""10:00\u201314:00, 18:00\u201320:00"", ""Tuesday"": ""10:00\u201314:00, 18:00\u201320:00"", ""Wednesday"": ""10:00\u201314:00, 18:00\u201320:00"", ""Thursday"": ""10:00\u201314:00, 18:00\u201320:00"", ""Friday"": ""10:00\u201314:00, 18:00\u201320:00"", ""Saturday"": ""10:00\u201314:00, 18:00\u201320:00"", ""Sunday"": ""10:00\u201314:00, 18:00\u201320:00""}"
Sri Navathurgadevi Tempel e.V.,,Hünefeldstraße 63B,42285,Barmen,"Hünefeldstraße 63B, 42285, Barmen, Germany",51.264502,7.1744,"[""https://hindutempel-wuppertal.de""]","[""+49 202 4796017""]","[""kontakt@hindutempel-wuppertal.de""]","[""https://www.facebook.com/SriNavathurgadeviTempel"", ""https://www.facebook.com/AxiomThemes-505060569826537""]","[""https://www.instagram.com/axiom_themes""]","{""Monday"": ""18:00\u201319:00"", ""Tuesday"": ""17:00\u201319:30"", ""Wednesday"": ""18:00\u201319:00"", ""Thursday"": ""18:00\u201319:00"", ""Friday"": ""17:00\u201319:30"", ""Saturday"": ""18:00\u201319:00"", ""Sunday"": ""18:00\u201319:00""}"
Sri Raja Rajeswari Amman Temple,,Kopernikusplatz 7a,90459,Nuremberg,"Kopernikusplatz 7a, 90459, Nuremberg, Germany",49.439679,11.08151,"[""http://www.sriammantemple.com""]","[""+49 1521 6752005""]",,,,"{""Monday"": ""17:30\u201320:00"", ""Tuesday"": ""16:30\u201321:00"", ""Wednesday"": ""17:30\u201320:00"", ""Thursday"": ""17:30\u201320:00"", ""Friday"": ""17:30\u201320:00"", ""Saturday"": ""17:30\u201320:00"", ""Sunday"": ""17:30\u201320:00""}"
Sri Sellapillaiyar Ganesha Temple,,Eduard-Friederich-Straße 5,82256,Fürstenfeldbruck,"Eduard-Friederich-Straße 5, 82256, Fürstenfeldbruck, Germany",48.159806,11.222674,"[""http://sellapillaiyar-muenchen.de""]","[""+49 8141 8908993""]",,,,"{""Monday"": ""18:00\u201319:00"", ""Tuesday"": ""18:00\u201319:00"", ""Wednesday"": ""18:00\u201319:00"", ""Thursday"": ""18:00\u201319:00"", ""Friday"": ""18:00\u201320:00"", ""Saturday"": ""18:00\u201319:00"", ""Sunday"": ""18:00\u201319:00""}"
Sri Shankara Narayana Hindu Peedam,,Saarbrückener Straße 252B,38116,Braunschweig,"Saarbrückener Straße 252B, 38116, Braunschweig, Germany",52.280196,10.487864,"[""http://www.hindu-tempel-braunschweig.de""]","[""+49 160 96612153""]","[""kontakt@hindu-tempel-braunschweig.de""]",,"[""https://www.instagram.com/hindu_tempel_braunschweig""]","{""Monday"": ""17:00\u201319:00"", ""Tuesday"": ""17:00\u201319:00"", ""Wednesday"": ""17:00\u201319:00"", ""Thursday"": ""17:00\u201319:00"", ""Friday"": ""17:00\u201319:00"", ""Saturday"": ""17:00\u201319:00"", ""Sunday"": ""17:00\u201319:00""}"
Sri Sithivinayagar Kovil Stuttgart e.V.,,Lehmfeldstraße 18,70374,Stuttgart,"Lehmfeldstraße 18, 70374, Stuttgart, Germany",48.820355,9.239953,"[""https://www.sri-sithivinayagar-kovil-ev.de""]","[""+49 176 43442439""]","[""srisithivinayagarkovilev@gmail.com""]","[""https://www.facebook.com/people/Sri-Sithivinayagar-Kovil-Stuttgart/100011598367825/#""]","[""https://www.instagram.com/srisithivinayagarkovilev""]","{""Monday"": ""17:30\u201320:30"", ""Tuesday"": ""10:30\u201313:30, 17:30\u201320:30"", ""Wednesday"": ""10:30\u201313:30, 17:30\u201320:30"", ""Thursday"": ""10:30\u201313:30, 17:30\u201320:30"", ""Friday"": ""10:30\u201313:30, 17:30\u201320:30"", ""Saturday"": ""10:30\u201313:30, 17:30\u201320:30"", ""Sunday"": ""10:30\u201313:30, 17:30\u201320:30""}"
Sri Sithivinayagar Temple,,Humboldtstraße 103,90459,Nuremberg,"Humboldtstraße 103, 90459, Nuremberg, Germany",49.43951,11.083178,"[""https://srisiththivinayagar.com""]","[""+49 176 40440800""]",,,,"{""Monday"": ""18:00\u201320:00"", ""Tuesday"": ""18:00\u201320:00"", ""Wednesday"": ""18:00\u201320:00"", ""Thursday"": ""18:00\u201320:00"", ""Friday"": ""18:00\u201320:00"", ""Saturday"": ""18:00\u201320:00"", ""Sunday"": ""18:00\u201320:00""}"
Sri Sithivinayagar Temple,,Ferdinand-Poggel-Straße 25,59065,Hamm,"Ferdinand-Poggel-Straße 25, 59065, Hamm, Germany",51.675012,7.811653,,"[""+49 2381 162686""]",,"[""https://www.facebook.com/HammSriSithivinayagar""]","[""https://instagram.com/srisithivinayagar_hamm?igsh=MTFhbDZtYWI1dnk4cQ%3D%3D""]","{""Monday"": ""09:00\u201312:00, 17:00\u201320:00"", ""Tuesday"": ""09:00\u201312:00, 17:00\u201320:00"", ""Wednesday"": ""09:00\u201312:00, 17:00\u201320:00"", ""Thursday"": ""09:00\u201312:00, 17:00\u201320:00"", ""Friday"": ""09:00\u201312:00, 17:00\u201320:00"", ""Saturday"": ""09:00\u201312:00, 17:00\u201320:00"", ""Sunday"": ""09:00\u201312:00, 17:00\u201320:00""}"
Sri Sitti Vinayagar Hindu Temple,,Waiblinger Straße 30,70372,Stuttgart,"Waiblinger Straße 30, 70372, Stuttgart, Germany",48.803945,9.221459,"[""https://www.ganapathytemple.de""]","[""+49 711 4703047""]",,"[""https://www.facebook.com/srisithivinayagar.tempelbadcannstatt""]",,"{""Monday"": ""19:00\u201321:00"", ""Tuesday"": ""19:00\u201320:30"", ""Wednesday"": ""19:00\u201321:00"", ""Thursday"": ""19:00\u201321:00"", ""Friday"": ""19:00\u201320:30"", ""Saturday"": ""19:00\u201321:00"", ""Sunday"": ""19:00\u201321:00""}"
Sri Varasiththi Vinayakar Temple,,Ilse-Kaisen Straße 24,28327,Bremen,"Ilse-Kaisen Straße 24, 28327, Bremen, Germany",53.071651,8.924298,"[""https://www.bremen-sri-varasiththi-vinayakar.com""]","[""+49 421 24796658""]","[""contact@bremen-sri-varasiththi-vinayakar.com""]","[""https://www.facebook.com/profile.php?id=100093094385875""]","[""https://instagram.com/varasithivinayakar""]","{""Monday"": ""18:00\u201320:00"", ""Tuesday"": ""18:00\u201320:00"", ""Wednesday"": ""18:00\u201320:00"", ""Thursday"": ""18:00\u201320:00"", ""Friday"": ""18:00\u201320:00"", ""Saturday"": ""18:00\u201320:00"", ""Sunday"": ""18:00\u201320:00""}"
Sri Venkateshwara Temple,,Wankelstraße 4/A,71272,Renningen,"Wankelstraße 4/A, 71272, Renningen, Germany",48.780482,8.899912,"[""https://svtstuttgart.de""]","[""+49 1525 5749792""]","[""svtstuttgart@gmail.com"", ""info@svtstuttgart.de""]",,"[""https://www.instagram.com/svt_stuttgart""]","{""Monday"": ""17:00\u201321:00"", ""Tuesday"": ""17:00\u201321:00"", ""Wednesday"": ""17:00\u201321:00"", ""Thursday"": ""17:00\u201321:00"", ""Friday"": ""17:00\u201321:00"", ""Saturday"": ""17:00\u201321:00"", ""Sunday"": ""17:00\u201321:00""}"
Sri Venkateswara Perumal Devasthanam,,Heessener Straße 134,59073,Hamm-Heessen,"Heessener Straße 134, 59073, Hamm-Heessen, Germany",51.69654,7.826858,"[""https://www.sri-venkateswara-perumal-tempel.de""]","[""+49 2381 9583563""]",,"[""https://www.facebook.com/Sri-Venkateswara-Perumal-Temple-eV-1750303355193325""]",,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""10:00\u201312:00"", ""Sunday"": ""Closed""}"
Tamilengemeinde Krefeld e.V. Hindutempel,,Elisabethstraße 103 -105,47799,Krefeld,"Elisabethstraße 103 -105, 47799, Krefeld, Germany",51.332665,6.571042,,"[""+49 2151 5650045""]",,,,"{""Monday"": ""17:00\u201318:00"", ""Tuesday"": ""17:00\u201319:00"", ""Wednesday"": ""17:00\u201318:00"", ""Thursday"": ""17:00\u201318:00"", ""Friday"": ""17:00\u201319:00"", ""Saturday"": ""11:00\u201314:00"", ""Sunday"": ""12:00\u201314:00""}"
Thiru Nallur Sri Arumukan Velalakan Murukan Temple,,Roonstraße 2,59065,Hamm,"Roonstraße 2, 59065, Hamm, Germany",51.675496,7.812676,"[""https://www.facebook.com/Thiru-Nallur-Sri-Arumukan-Velalakan-Hamm-Germany-183209298367261""]","[""+49 2381 29103""]","[""arumurugan@hotmail.de""]","[""https://www.facebook.com/Thiru-Nallur-Sri-Arumukan-Velalakan-Hamm-Germany-183209298367261""]",,"{""Monday"": ""09:00\u201320:00"", ""Tuesday"": ""09:00\u201320:00"", ""Wednesday"": ""09:00\u201320:00"", ""Thursday"": ""09:00\u201320:00"", ""Friday"": ""09:00\u201320:00"", ""Saturday"": ""09:00\u201320:00"", ""Sunday"": ""09:00\u201320:00""}"
Vedic Cultural Association e.V.,,Forsthausweg 1,69483,Wald-Michelbach,"Forsthausweg 1, 69483, Wald-Michelbach, Germany",49.546728,8.804672,"[""https://www.harekrischna.de""]","[""+49 178 8633740""]","[""ved.kulturverein@gmail.com""]","[""https://www.facebook.com/bhaktistuttgart"", ""https://www.facebook.com/Vedischer-Kulturverein-101239327891512""]",,"{""Monday"": ""08:00\u201313:00"", ""Tuesday"": ""~18:30\u201321:00"", ""Wednesday"": ""08:00\u201313:00, ~18:30\u201321:00"", ""Thursday"": ""08:00\u201313:00, ~18:30\u201321:00"", ""Friday"": ""08:00\u201313:00, ~18:30\u201321:00"", ""Saturday"": ""08:00\u201313:00, ~18:30\u201321:00"", ""Sunday"": ""08:00\u201313:00, ~18:30\u201321:00""}"
Vedic Culture Hindu Temple,,Kreuzotterweg 2,70499,Weilimdorf,"Kreuzotterweg 2, 70499, Weilimdorf, Germany",48.801965,9.08675,"[""https://stuttgart-hindutemple.org""]","[""+49 173 2109941""]",,,,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""11:00\u201315:00""}"
Vinayagar Temple,,Gottwaldstraße 23,45525,Hattingen,"Gottwaldstraße 23, 45525, Hattingen, Germany",51.400201,7.168355,,"[""+49 2324 27061""]",,"[""https://www.facebook.com/pilaiyaarkovil.hattingen""]",,"{""Monday"": ""Closed"", ""Tuesday"": ""~18:00\u201319:55"", ""Wednesday"": ""09:00\u201314:00"", ""Thursday"": ""Closed"", ""Friday"": ""~18:00\u201319:55"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}"
Vitthala Pandurenga Rukmini Mandir,a part of Bhakthi Marg,Am Geisberg 1-8,65321,Heidenrod,"Am Geisberg 1-8, 65321, Heidenrod, Germany",50.1446,7.992185,"[""https://www.bhaktimarga.org""]","[""+49 61246091125""]","[""rezeption@bmsvd.net"", ""willkommen@bhaktimarga.de"", ""registration@bhaktimarga.org""]","[""https://www.facebook.com/ShreePeethaNilaya"", ""https://www.facebook.com/bhaktimargadeutschland""]","[""https://www.instagram.com/bhaktimarga_deutschland"", ""https://www.instagram.com/srivitthaldham""]","{""Monday"": ""07:30\u201313:00, 16:00\u201320:00"", ""Tuesday"": ""07:30\u201313:00, 16:00\u201320:00"", ""Wednesday"": ""07:30\u201313:00, 16:00\u201320:00"", ""Thursday"": ""07:30\u201313:00, 16:00\u201320:00"", ""Friday"": ""07:30\u201313:00, 16:00\u201320:00"", ""Saturday"": ""07:30\u201313:00, 16:00\u201320:00"", ""Sunday"": ""07:30\u201313:00, 16:00\u201320:00""}"
Zentrum The White Horse,,Breiteweg 9,78359,Orsingen-Nenzingen,"Breiteweg 9, 78359, Orsingen-Nenzingen, Germany",47.84012,8.93365,"[""https://zentrum-thewhitehorse.de""]","[""+49 7774 9397937""]","[""info@zentrum-thewhitehorse.de""]","[""https://www.facebook.com/ZentrumTheWhiteHorse""]","[""https://www.instagram.com/zentrumthewhitehorse""]",
